 ,Label,Area,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Angle,Length
1,M06_00-gp_cr.jpg:M06_Scale,1.440,36.191,180.762,87.098,40.860,100.000,37.189,37.851,99.833,6.033,3.450,100.000
2,M06_00-gp_cr.jpg:M06_Iris_Pupil_Area_Left,80.756,0.000,141.000,48.985,54.812,33.168,42.833,50.708,11.835,8.365,0.000,0.000
3,M06_00-gp_cr.jpg:M06_Eye_Opening_Area_Left,142.816,0.000,194.000,49.708,54.911,52.977,37.405,50.708,24.217,8.408,0.000,0.000
4,M06_00-gp_cr.jpg:M06_Iris_Pupil_Area_Right,81.838,1.000,114.000,113.523,52.828,33.612,107.680,48.894,11.763,8.120,0.000,0.000
5,M06_00-gp_cr.jpg:M06_Eye_Opening_Area_Right,138.098,1.000,166.000,113.845,53.001,53.609,101.662,48.880,24.591,8.106,0.000,0.000
6,M06_00-gp_cr.jpg:M06_Complete_Area_Left,149.921,0.000,194.000,50.320,54.940,59.277,37.405,50.723,27.687,8.394,0.000,0.000
7,M06_00-gp_cr.jpg:M06_Complete_Area_Right,147.149,1.000,166.000,113.062,53.097,59.278,99.056,48.880,27.197,8.106,0.000,0.000
