 ,Label,Area,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Angle,Length
1,F04_00-gp_cr.jpg:F04_Scale,1.429,11.641,196.253,86.419,40.552,100.000,36.473,38.216,99.905,4.686,2.678,100.000
2,F04_00-gp_cr.jpg:F04_Iris_Pupil_Area_Left,81.600,0.000,174.000,51.105,57.483,33.150,45.145,53.488,11.829,8.286,0.000,0.000
3,F04_00-gp_cr.jpg:F04_Eye_Opening_Area_Left,134.267,0.000,174.000,51.395,57.776,51.457,40.302,53.488,23.315,8.286,0.000,0.000
4,F04_00-gp_cr.jpg:F04_Iris_Pupil_Area_Right,83.096,0.000,200.000,113.873,56.445,33.544,107.848,52.403,11.886,8.372,0.000,0.000
5,F04_00-gp_cr.jpg:F04_Eye_Opening_Area_Right,134.332,0.000,200.000,114.360,56.785,49.919,103.162,52.403,22.230,8.372,0.000,0.000
6,F04_00-gp_cr.jpg:F04_Complete_Area_Left,141.974,0.000,255.000,52.067,57.878,57.006,40.302,53.488,26.273,8.286,0.000,0.000
7,F04_00-gp_cr.jpg:F04_Complete_Area_Right,143.410,0.000,255.000,113.576,56.920,56.953,99.319,52.403,26.073,8.372,0.000,0.000
