"","looker_id","names_x","X","names_y","Y"
"90",10,"width_right_x1",8729.109,"width_right_y1",4425.636
"91",11,"width_right_x1",8730.559,"width_right_y1",4252.595
"92",12,"width_right_x1",8458.193,"width_right_y1",4350.217
"93",13,"width_right_x1",8285.051,"width_right_y1",4018.537
"94",14,"width_right_x1",8935.687,"width_right_y1",4035.649
"95",15,"width_right_x1",8764.91,"width_right_y1",4112.666
"96",16,"width_right_x1",8880.732,"width_right_y1",4064.496
"97",17,"width_right_x1",9013.187,"width_right_y1",4214.854
"98",18,"width_right_x1",9063.391,"width_right_y1",3872.187
"99",19,"width_right_x1",9183.408,"width_right_y1",3886.335
"100",20,"width_right_x1",8709.912,"width_right_y1",4514.749
"101",21,"width_right_x1",9135.308,"width_right_y1",4209.094
"102",22,"width_right_x1",8901.602,"width_right_y1",4307.621
"103",23,"width_right_x1",8895.752,"width_right_y1",4233.611
"104",24,"width_right_x1",8847.646,"width_right_y1",3873.844
"105",25,"width_right_x1",8883.84,"width_right_y1",4117.374
"106",26,"width_right_x1",8954.336,"width_right_y1",4194.333
"107",27,"width_right_x1",8696.86,"width_right_y1",3933.215
"108",28,"width_right_x1",9361.196,"width_right_y1",3796.412
"109",29,"width_right_x1",9509.496,"width_right_y1",3996.915
"110",30,"width_right_x1",9450.711,"width_right_y1",4194.92
"111",31,"width_right_x1",9041.323,"width_right_y1",3776.179
"112",32,"width_right_x1",8768.786,"width_right_y1",3727.031
"113",33,"width_right_x1",9206.579,"width_right_y1",4129.203
"114",34,"width_right_x1",9145.963,"width_right_y1",4294.563
"115",35,"width_right_x1",8578.995,"width_right_y1",4698.054
"116",36,"width_right_x1",9385.266,"width_right_y1",3844.29
"117",37,"width_right_x1",8969.402,"width_right_y1",3786.247
"118",38,"width_right_x1",8818.355,"width_right_y1",3928.458
"119",39,"width_right_x1",8990.342,"width_right_y1",4109.75
"120",40,"width_right_x1",8843.136,"width_right_y1",4626.528
"121",1,"width_right_x2",6613.16,"width_right_y2",3075.632
"122",2,"width_right_x2",6958.355,"width_right_y2",4271.791
"123",3,"width_right_x2",7300.082,"width_right_y2",4464.862
"124",4,"width_right_x2",6952.189,"width_right_y2",4174.869
"125",5,"width_right_x2",7015.101,"width_right_y2",4047.987
"126",6,"width_right_x2",6833.479,"width_right_y2",4000.697
"127",7,"width_right_x2",7436.516,"width_right_y2",3950.021
"128",8,"width_right_x2",7415.797,"width_right_y2",4222.944
"129",9,"width_right_x2",6825.23,"width_right_y2",4288.019
"130",10,"width_right_x2",7048.743,"width_right_y2",4573.411
"131",11,"width_right_x2",6958.635,"width_right_y2",4385.496
"132",12,"width_right_x2",6703.696,"width_right_y2",4633.124
"133",13,"width_right_x2",6505.503,"width_right_y2",4321.418
"134",14,"width_right_x2",7089.012,"width_right_y2",4046.153
"135",15,"width_right_x2",6922.654,"width_right_y2",4384.986
"136",16,"width_right_x2",7096.253,"width_right_y2",4157.925
"137",17,"width_right_x2",7071.104,"width_right_y2",4204.583
"138",18,"width_right_x2",7199.581,"width_right_y2",3942.227
"139",19,"width_right_x2",7212.334,"width_right_y2",4009.207
"140",20,"width_right_x2",7008.808,"width_right_y2",4609.414
"141",21,"width_right_x2",7258.96,"width_right_y2",4276.176
"142",22,"width_right_x2",7128.113,"width_right_y2",4364.218
"143",23,"width_right_x2",6973.519,"width_right_y2",4422.382
"144",24,"width_right_x2",6835.108,"width_right_y2",4108.867
"145",25,"width_right_x2",7163,"width_right_y2",4237.897
"146",26,"width_right_x2",7077.411,"width_right_y2",4572.836
"147",27,"width_right_x2",6966.088,"width_right_y2",4008.705
