"","looker_id","Gender","ID","set","measure","value"
"119","F21","f","21","left","width_horiz_left_mm",22.586
"120","F21","f","21","right","width_horiz_left_mm",22.586
"121","F22","f","22","left","width_horiz_left_mm",27.573
"122","F22","f","22","right","width_horiz_left_mm",27.573
"123","F23","f","23","left","width_horiz_left_mm",26.999
"124","F23","f","23","right","width_horiz_left_mm",26.999
"125","F24","f","24","left","width_horiz_left_mm",26.562
"126","F24","f","24","right","width_horiz_left_mm",26.562
"127","F25","f","25","left","width_horiz_left_mm",27.839
"128","F25","f","25","right","width_horiz_left_mm",27.839
"129","F26","f","26","left","width_horiz_left_mm",24.457
"130","F26","f","26","right","width_horiz_left_mm",24.457
"131","F28","f","28","left","width_horiz_left_mm",27.509
"132","F28","f","28","right","width_horiz_left_mm",27.509
"133","M01","m","01","left","width_horiz_left_mm",29.06
"134","M01","m","01","right","width_horiz_left_mm",29.06
"135","M02","m","02","left","width_horiz_left_mm",28.564
"136","M02","m","02","right","width_horiz_left_mm",28.564
"137","M03","m","03","left","width_horiz_left_mm",27.461
"138","M03","m","03","right","width_horiz_left_mm",27.461
"139","M04","m","04","left","width_horiz_left_mm",27.945
"140","M04","m","04","right","width_horiz_left_mm",27.945
"141","M05","m","05","left","width_horiz_left_mm",26.866
"142","M05","m","05","right","width_horiz_left_mm",26.866
"143","M06","m","06","left","width_horiz_left_mm",27.687
"144","M06","m","06","right","width_horiz_left_mm",27.687
"145","M07","m","07","left","width_horiz_left_mm",25.124
"146","M07","m","07","right","width_horiz_left_mm",25.124
"147","M08","m","08","left","width_horiz_left_mm",25.387
"148","M08","m","08","right","width_horiz_left_mm",25.387
"149","M09","m","09","left","width_horiz_left_mm",26.926
"150","M09","m","09","right","width_horiz_left_mm",26.926
"151","M10","m","10","left","width_horiz_left_mm",30.213
"152","M10","m","10","right","width_horiz_left_mm",30.213
"153","M11","m","11","left","width_horiz_left_mm",25.269
"154","M11","m","11","right","width_horiz_left_mm",25.269
"155","M12","m","12","left","width_horiz_left_mm",31.046
"156","M12","m","12","right","width_horiz_left_mm",31.046
"157","M13","m","13","left","width_horiz_left_mm",28.916
"158","M13","m","13","right","width_horiz_left_mm",28.916
"159","M14","m","14","left","width_horiz_left_mm",28.355
"160","M14","m","14","right","width_horiz_left_mm",28.355
"161","F01","f","01","left","sc_width_left_mm",24.1811289231913
"162","F01","f","01","right","sc_width_left_mm",24.1811289231913
"163","F02","f","02","left","sc_width_left_mm",25.4485699598229
"164","F02","f","02","right","sc_width_left_mm",25.4485699598229
"165","F03","f","03","left","sc_width_left_mm",22.8628145686396
"166","F03","f","03","right","sc_width_left_mm",22.8628145686396
"167","F04","f","04","left","sc_width_left_mm",23.2996201900374
"168","F04","f","04","right","sc_width_left_mm",23.2996201900374
"169","F05","f","05","left","sc_width_left_mm",22.780307833741
"170","F05","f","05","right","sc_width_left_mm",22.780307833741
"171","F07","f","07","left","sc_width_left_mm",22.5437360701371
"172","F07","f","07","right","sc_width_left_mm",22.5437360701371
"173","F08","f","08","left","sc_width_left_mm",25.8188059367586
"174","F08","f","08","right","sc_width_left_mm",25.8188059367586
"175","F09","f","09","left","sc_width_left_mm",24.1571539921407
"176","F09","f","09","right","sc_width_left_mm",24.1571539921407
"177","F10","f","10","left","sc_width_left_mm",23.332509037821
"178","F10","f","10","right","sc_width_left_mm",23.332509037821
"179","F11","f","11","left","sc_width_left_mm",22.0149082441876
"180","F11","f","11","right","sc_width_left_mm",22.0149082441876
"181","F12","f","12","left","sc_width_left_mm",23.7623334081483
"182","F12","f","12","right","sc_width_left_mm",23.7623334081483
"183","F13","f","13","left","sc_width_left_mm",23.5453105309741
"184","F13","f","13","right","sc_width_left_mm",23.5453105309741
"185","F14","f","14","left","sc_width_left_mm",25.3411255669514
"186","F14","f","14","right","sc_width_left_mm",25.3411255669514
"187","F15","f","15","left","sc_width_left_mm",23.4094110348808
"188","F15","f","15","right","sc_width_left_mm",23.4094110348808
"189","F16","f","16","left","sc_width_left_mm",24.578028826576
"190","F16","f","16","right","sc_width_left_mm",24.578028826576
"191","F17","f","17","left","sc_width_left_mm",23.4396640334285
"192","F17","f","17","right","sc_width_left_mm",23.4396640334285
"193","F18","f","18","left","sc_width_left_mm",26.4524191143268
"194","F18","f","18","right","sc_width_left_mm",26.4524191143268
"195","F19","f","19","left","sc_width_left_mm",22.0940000226306
"196","F19","f","19","right","sc_width_left_mm",22.0940000226306
"197","F20","f","20","left","sc_width_left_mm",24.3548817488404
"198","F20","f","20","right","sc_width_left_mm",24.3548817488404
"199","F21","f","21","left","sc_width_left_mm",20.6369681881811
"200","F21","f","21","right","sc_width_left_mm",20.6369681881811
"201","F22","f","22","left","sc_width_left_mm",25.1241898774866
"202","F22","f","22","right","sc_width_left_mm",25.1241898774866
"203","F23","f","23","left","sc_width_left_mm",24.3283666940467
"204","F23","f","23","right","sc_width_left_mm",24.3283666940467
"205","F24","f","24","left","sc_width_left_mm",23.6542584115419
"206","F24","f","24","right","sc_width_left_mm",23.6542584115419
"207","F25","f","25","left","sc_width_left_mm",24.2421377976448
"208","F25","f","25","right","sc_width_left_mm",24.2421377976448
"209","F26","f","26","left","sc_width_left_mm",22.3410991000891
"210","F26","f","26","right","sc_width_left_mm",22.3410991000891
"211","F28","f","28","left","sc_width_left_mm",23.7659157829022
"212","F28","f","28","right","sc_width_left_mm",23.7659157829022
"213","M01","m","01","left","sc_width_left_mm",25.1917944180243
"214","M01","m","01","right","sc_width_left_mm",25.1917944180243
"215","M02","m","02","left","sc_width_left_mm",24.8984941311719
"216","M02","m","02","right","sc_width_left_mm",24.8984941311719
"217","M03","m","03","left","sc_width_left_mm",24.9579189236603
"218","M03","m","03","right","sc_width_left_mm",24.9579189236603
"219","M04","m","04","left","sc_width_left_mm",25.9771654342809
"220","M04","m","04","right","sc_width_left_mm",25.9771654342809
"221","M05","m","05","left","sc_width_left_mm",24.6806221355946
"222","M05","m","05","right","sc_width_left_mm",24.6806221355946
"223","M06","m","06","left","sc_width_left_mm",24.2352837202291
"224","M06","m","06","right","sc_width_left_mm",24.2352837202291
"225","M07","m","07","left","sc_width_left_mm",21.4565574358982
"226","M07","m","07","right","sc_width_left_mm",21.4565574358982
"227","M08","m","08","left","sc_width_left_mm",21.7290465966641
"228","M08","m","08","right","sc_width_left_mm",21.7290465966641
"229","M09","m","09","left","sc_width_left_mm",23.1562806167139
"230","M09","m","09","right","sc_width_left_mm",23.1562806167139
"231","M10","m","10","left","sc_width_left_mm",26.9541382351579
"232","M10","m","10","right","sc_width_left_mm",26.9541382351579
"233","M11","m","11","left","sc_width_left_mm",21.9424575196125
"234","M11","m","11","right","sc_width_left_mm",21.9424575196125
"235","M12","m","12","left","sc_width_left_mm",26.797726358779
"236","M12","m","12","right","sc_width_left_mm",26.797726358779
"237","M13","m","13","left","sc_width_left_mm",25.0607454996854
"238","M13","m","13","right","sc_width_left_mm",25.0607454996854
"239","M14","m","14","left","sc_width_left_mm",26.2425635942832
"240","M14","m","14","right","sc_width_left_mm",26.2425635942832
"241","F01","f","01","left","sc_width_horiz_left_mm",24.185
"242","F01","f","01","right","sc_width_horiz_left_mm",24.185
"243","F02","f","02","left","sc_width_horiz_left_mm",25.441
"244","F02","f","02","right","sc_width_horiz_left_mm",25.441
"245","F03","f","03","left","sc_width_horiz_left_mm",22.843
"246","F03","f","03","right","sc_width_horiz_left_mm",22.843
"247","F04","f","04","left","sc_width_horiz_left_mm",23.315
"248","F04","f","04","right","sc_width_horiz_left_mm",23.315
"249","F05","f","05","left","sc_width_horiz_left_mm",22.788
"250","F05","f","05","right","sc_width_horiz_left_mm",22.788
"251","F07","f","07","left","sc_width_horiz_left_mm",22.509
"252","F07","f","07","right","sc_width_horiz_left_mm",22.509
"253","F08","f","08","left","sc_width_horiz_left_mm",25.825
"254","F08","f","08","right","sc_width_horiz_left_mm",25.825
"255","F09","f","09","left","sc_width_horiz_left_mm",24.149
"256","F09","f","09","right","sc_width_horiz_left_mm",24.149
"257","F10","f","10","left","sc_width_horiz_left_mm",23.34
"258","F10","f","10","right","sc_width_horiz_left_mm",23.34
"259","F11","f","11","left","sc_width_horiz_left_mm",22.017
"260","F11","f","11","right","sc_width_horiz_left_mm",22.017
"261","F12","f","12","left","sc_width_horiz_left_mm",23.766
"262","F12","f","12","right","sc_width_horiz_left_mm",23.766
"263","F13","f","13","left","sc_width_horiz_left_mm",23.531
"264","F13","f","13","right","sc_width_horiz_left_mm",23.531
"265","F14","f","14","left","sc_width_horiz_left_mm",25.342
"266","F14","f","14","right","sc_width_horiz_left_mm",25.342
"267","F15","f","15","left","sc_width_horiz_left_mm",23.412
"268","F15","f","15","right","sc_width_horiz_left_mm",23.412
"269","F16","f","16","left","sc_width_horiz_left_mm",24.597
"270","F16","f","16","right","sc_width_horiz_left_mm",24.597
"271","F17","f","17","left","sc_width_horiz_left_mm",23.433
"272","F17","f","17","right","sc_width_horiz_left_mm",23.433
"273","F18","f","18","left","sc_width_horiz_left_mm",26.474
"274","F18","f","18","right","sc_width_horiz_left_mm",26.474
"275","F19","f","19","left","sc_width_horiz_left_mm",22.107
"276","F19","f","19","right","sc_width_horiz_left_mm",22.107
"277","F20","f","20","left","sc_width_horiz_left_mm",24.313
"278","F20","f","20","right","sc_width_horiz_left_mm",24.313
"279","F21","f","21","left","sc_width_horiz_left_mm",20.642
"280","F21","f","21","right","sc_width_horiz_left_mm",20.642
"281","F22","f","22","left","sc_width_horiz_left_mm",25.127
"282","F22","f","22","right","sc_width_horiz_left_mm",25.127
"283","F23","f","23","left","sc_width_horiz_left_mm",24.317
"284","F23","f","23","right","sc_width_horiz_left_mm",24.317
"285","F24","f","24","left","sc_width_horiz_left_mm",23.669
"286","F24","f","24","right","sc_width_horiz_left_mm",23.669
"287","F25","f","25","left","sc_width_horiz_left_mm",24.252
"288","F25","f","25","right","sc_width_horiz_left_mm",24.252
