"","looker_id","Gender","ID","set","width","width_horiz","sc_width","sc_width_horiz","ir_width","ir_width_horiz","ir_width_alt","height","sc_height","ir_height","complete_area","eye_opening_area","iris_pupil_area","sclera_area","hac","hrc","ril","iris_centroid_y","luminance_slope_abs","whr","ssi","ssi_alt","ssr"
"1","F01","f","01","left",27.0418724388678,27.039,24.1811289231913,24.185,12.2111065018695,12.129,11.7404888845407,9.64005823638741,9.59337687187164,9.72071839271783,167.471,161.237,96.53,64.707,122.255,105.292,0.0896601536903556,43.43,17.2886557117403,2.80515654322455,1.98025698322172,2.05963560470058,0.401316075094426
"2","F01","f","01","right",25.8642781650677,25.75,23.6264082966497,23.634,12.1144903731028,12.129,11.5505904568855,9.43738369648825,9.34064220152204,9.32577139271618,155.99,151.066,94.348,56.718,122.29,95.8723,0.0850049756455245,41.087,13.8575378478832,2.74061953999943,2.5294201176874,2.04547190767772,0.375451789284154
"3","F02","f","02","left",28.4769786669864,28.339,25.4485699598229,25.441,11.3415941119403,11.321,11.0798391998878,9.3320814074154,9.28250300367143,9.3431228126038,164.057,159.191,86.992,72.199,138.498,108.042,0.0251150873537652,57.209,18.2690937870993,3.05151417178575,2.24382654754245,2.29683567610626,0.453536946184144
"4","F02","f","02","right",28.8693176919719,28.768,24.7073264033161,24.727,11.2734763493787,11.236,11.1710094989735,8.7405688408445,8.66275527818417,9.24748987931036,155.069,149.062,83.196,65.866,134.319,102.733,0.0593512332450943,57.779,21.0947953638848,3.30291062488589,2.85213256174253,2.21173622720367,0.441869825978452
"5","F03","f","03","left",25.7064281844055,25.555,22.8628145686396,22.843,11.535177935342,11.536,10.9493335464482,9.62425997662669,9.59525125647145,9.37750933548141,160.373,154.739,85.228,69.511,127.35,112.37,0.117530888151284,60.018,18.0203763973397,2.67100309497413,1.98200796700254,2.08805535712775,0.449214483743594
"6","F03","f","03","right",25.0068593989729,24.67,21.5002213244422,21.472,11.4491868706909,11.464,11.0458682525015,9.77168579267432,9.64508087292469,9.40135769814214,164.421,153.838,85.487,68.351,104,96.4608,0.975621190811064,59.736,0.086522462562396,2.5591141517997,2.22913852229035,1.94644919104238,0.444305048167553
"7","F04","f","04","left",26.3203367189708,26.273,23.2996201900374,23.315,11.8426905726697,11.829,11.3746793674956,8.23256407414863,8.23586743999742,8.35496867761226,141.866,134.505,81.638,52.867,114.313,111.339,0.0878966560014043,57.482,13.425370242052,3.19710074308686,1.96742624043625,2.04837599700776,0.39304858555444
"8","F04","f","04","right",26.241379536907,26.073,22.7947178311117,22.801,12.062168503217,11.886,11.491992183535,8.40385341179712,8.36962419517578,8.67373814008823,143.423,134.734,83.096,51.638,122.398,105.21,0.0571642055477241,56.445,12.1695815146604,3.12254132135027,2.72350553615662,1.98353057216402,0.383258865616697
"9","F05","f","05","left",25.8375259070988,25.805,22.780307833741,22.788,11.6636214787689,11.572,11.2855580993761,9.35070786818763,9.29454183734433,10.369776022438,155.644,149.681,91.708,57.973,134.777,116.209,0.0474652456305259,56.091,21.6679796144756,2.76316256173519,1.95310760686186,2.01853622418553,0.387310346670586
"10","F05","f","05","right",26.3786415495567,26.261,23.5114784732904,23.514,11.67708953464,11.6,11.4233368120108,9.64445764889643,9.6337245163415,10.3973304903936,162.238,157.074,93.859,63.215,125.575,109.929,0.0593351111643795,54.282,17.8234333972039,2.73510885835816,2.44053880027484,2.05819708025853,0.402453620586475
"11","F07","f","07","left",24.9516858348289,24.966,22.5437360701371,22.509,12.1838071225705,12.023,11.0401878027278,8.2154905740418,8.18854161852659,8.26205439448997,134.995,130.764,82.262,48.502,107.59,112.129,0.116920425165182,56.441,64.5682050051012,3.03715105141351,1.85030309847689,2.04197034262107,0.370912483558166
"12","F07","f","07","right",25.0178493480155,24.894,22.6601747786728,22.667,12.7001951559809,12.483,11.3106891165103,9.09661434174132,8.98329190735984,9.29831944956046,151.439,145.95,91.832,54.118,106.28,107.949,0.0678419506205324,53.6,8.89275643653828,2.75023744089237,2.522480067703,2.00343007797779,0.370798218568003
"13","F08","f","08","left",28.3101458314859,28.302,25.8188059367586,25.825,12.6480542772396,12.66,11.9946244944128,8.26517354527351,8.2523324527148,8.25482481630778,143.654,140.424,87.32,53.104,71.1796,112.613,0.233477348794535,54.867,9.86399855877829,3.42523307906526,2.04132630765349,2.1525314067802,0.378168973964565
"14","F08","f","08","right",28.5784029819722,28.432,25.4856033477726,25.465,12.6727506879919,12.66,12.3440772924568,8.82398324140702,8.80840059616696,9.03908436504294,158.247,152.329,94.274,58.055,138.148,106.828,0.0609267831773287,53.769,20.0659433236016,3.23871909092784,2.89332927919546,2.06460173117568,0.381115874193358
"15","F09","f","09","left",27.987168863606,27.964,24.1571539921407,24.149,11.2149374050861,11.229,10.0738091400179,10.3279919096074,10.2605972725651,9.57331853677611,202.693,189.899,86.288,103.611,135.546,114.843,0.0921049987608592,57.039,21.219844388434,2.70983644338175,2.15401594494724,2.398015850447,0.54561108799941
"16","F09","f","09","right",28.9358420129776,28.875,24.7830597182834,24.785,11.1380479887636,11.157,10.5979408564168,10.04249182185,9.95737738320282,9.60466467471021,194.879,184.115,86.719,97.396,119.883,98.9091,0.159777123633305,57.297,17.0336743393009,2.88134085905059,2.48891437619811,2.33847877187178,0.528995464791027
"17","F10","f","10","left",26.9965310734546,26.954,23.332509037821,23.34,11.5316583803025,11.496,10.588637666607,10.4235126671312,10.4083009732169,9.50374668240372,184.514,176.093,87.599,88.494,101.721,90.7598,0.196465811425683,60.814,15.5043592244848,2.58996481661923,2.02334376100457,2.2035421149034,0.502541270805767
