 ,Label,Area,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Angle,Length
1,F05_00-gp_cr.jpg:F05_Scale,1.424,29.599,207.868,86.105,40.402,100.000,36.139,38.573,99.947,3.672,-177.904,100
2,F05_00-gp_cr.jpg:F05_Iris_Pupil_Area_Left,91.646,0.000,255.000,53.076,56.094,34.531,47.241,51.454,11.572,9.394,0.000,0
3,F05_00-gp_cr.jpg:F05_Eye_Opening_Area_Left,149.616,0.000,255.000,53.846,56.389,51.528,42.558,51.454,22.788,9.423,0.000,0
4,F05_00-gp_cr.jpg:F05_Iris_Pupil_Area_Right,93.839,1.000,255.000,115.274,54.281,34.808,109.455,49.404,11.600,9.679,0.000,0
5,F05_00-gp_cr.jpg:F05_Eye_Opening_Area_Right,156.940,0.000,255.000,114.711,54.550,53.040,102.580,49.404,23.514,9.679,0.000,0
6,F05_00-gp_cr.jpg:F05_Complete_Area_Left,155.576,0.000,255.000,54.323,56.456,56.990,42.558,51.454,25.805,9.423,0.000,0
7,F05_00-gp_cr.jpg:F05_Complete_Area_Right,162.235,0.000,255.000,114.288,54.627,58.334,99.833,49.404,26.261,9.679,0.000,0
