X,Y
56.939,51.951
56.908,51.951
56.877,51.952
56.846,51.952
56.816,51.953
56.786,51.954
56.756,51.955
56.727,51.956
56.697,51.957
56.667,51.959
56.638,51.961
56.608,51.963
56.578,51.965
56.548,51.967
56.517,51.969
56.487,51.972
56.456,51.974
56.425,51.977
56.394,51.980
56.363,51.983
56.332,51.986
56.301,51.989
56.269,51.992
56.238,51.996
56.206,51.999
56.175,52.002
56.143,52.006
56.112,52.009
56.080,52.013
56.049,52.016
56.017,52.020
55.986,52.023
55.954,52.027
55.923,52.030
55.891,52.034
55.860,52.037
55.828,52.041
55.797,52.045
55.765,52.048
55.733,52.052
55.702,52.056
55.670,52.059
55.639,52.063
55.607,52.067
55.576,52.071
55.545,52.075
55.514,52.079
55.483,52.083
55.452,52.088
55.421,52.092
55.391,52.097
55.361,52.101
55.330,52.106
55.300,52.111
55.270,52.116
55.241,52.121
55.211,52.127
55.181,52.133
55.152,52.139
55.122,52.145
55.092,52.151
55.063,52.158
55.033,52.165
55.004,52.172
54.974,52.180
54.944,52.187
54.915,52.195
54.885,52.204
54.855,52.212
54.825,52.220
54.795,52.229
54.765,52.238
54.735,52.247
54.705,52.256
54.675,52.265
54.645,52.274
54.614,52.283
54.584,52.292
54.553,52.301
54.523,52.310
54.492,52.320
54.462,52.329
54.431,52.339
54.401,52.349
54.370,52.358
54.339,52.368
54.309,52.378
54.278,52.388
54.248,52.399
54.218,52.409
54.187,52.420
54.157,52.430
54.127,52.441
54.097,52.451
54.067,52.462
54.037,52.473
54.007,52.484
53.978,52.495
53.948,52.506
53.919,52.517
53.890,52.528
53.861,52.539
53.832,52.550
53.803,52.561
53.774,52.572
53.745,52.583
53.716,52.595
53.687,52.606
53.657,52.618
53.627,52.630
53.596,52.642
53.565,52.655
53.534,52.667
53.502,52.680
53.469,52.694
53.436,52.707
53.402,52.721
53.368,52.735
53.334,52.749
53.299,52.764
53.264,52.779
53.228,52.794
53.192,52.809
53.155,52.824
53.119,52.840
53.082,52.855
53.045,52.871
53.007,52.887
52.969,52.904
52.931,52.920
52.893,52.936
52.855,52.953
52.816,52.970
52.777,52.987
52.738,53.004
52.699,53.022
52.660,53.039
52.620,53.057
52.580,53.075
52.541,53.093
52.500,53.112
52.460,53.130
52.420,53.149
52.379,53.168
52.339,53.188
52.298,53.207
52.257,53.227
52.216,53.247
52.175,53.267
52.133,53.287
52.092,53.308
52.050,53.328
52.009,53.349
51.967,53.369
51.925,53.390
51.882,53.411
51.840,53.432
51.797,53.453
51.755,53.473
51.712,53.494
51.669,53.515
51.626,53.536
51.582,53.556
51.539,53.577
51.495,53.597
51.452,53.618
51.408,53.638
51.364,53.659
51.320,53.679
51.275,53.699
51.231,53.720
51.187,53.740
51.142,53.760
51.098,53.781
51.053,53.801
51.009,53.822
50.964,53.843
50.919,53.864
50.875,53.885
50.830,53.906
50.786,53.927
50.741,53.949
50.697,53.971
50.653,53.993
50.608,54.015
50.564,54.037
50.520,54.060
50.476,54.083
50.432,54.106
50.389,54.129
50.345,54.152
50.302,54.176
50.258,54.199
50.215,54.223
50.172,54.247
50.129,54.271
50.086,54.296
50.044,54.320
50.001,54.345
49.959,54.369
49.917,54.394
49.875,54.419
49.833,54.444
49.792,54.469
49.750,54.494
49.709,54.520
49.668,54.545
49.627,54.571
49.586,54.597
49.545,54.623
49.503,54.650
49.462,54.677
49.421,54.704
49.379,54.731
49.338,54.759
49.296,54.786
49.254,54.815
49.212,54.843
49.169,54.873
49.126,54.902
49.083,54.932
49.039,54.962
48.995,54.993
48.951,55.024
48.906,55.056
48.862,55.088
48.817,55.120
48.772,55.153
48.727,55.185
48.682,55.218
48.637,55.252
48.593,55.285
48.549,55.318
48.505,55.351
48.462,55.385
48.420,55.418
48.378,55.451
48.337,55.484
48.296,55.517
48.257,55.550
48.218,55.582
48.181,55.614
48.144,55.646
48.109,55.678
48.075,55.709
48.041,55.740
48.009,55.770
47.978,55.801
47.947,55.831
47.918,55.861
47.888,55.891
47.860,55.921
47.831,55.952
47.804,55.982
47.776,56.012
47.749,56.043
47.721,56.074
47.694,56.105
47.667,56.136
47.639,56.168
47.611,56.200
47.583,56.233
47.555,56.266
47.526,56.300
47.498,56.333
47.469,56.367
47.440,56.401
47.410,56.436
47.381,56.470
47.351,56.504
47.322,56.538
47.292,56.573
47.262,56.607
47.232,56.641
47.202,56.674
47.172,56.708
47.142,56.741
47.112,56.773
47.082,56.806
47.052,56.838
47.022,56.869
46.992,56.901
46.962,56.932
46.932,56.963
46.903,56.993
46.874,57.024
46.845,57.054
46.816,57.085
46.788,57.115
46.759,57.146
46.732,57.176
46.704,57.207
46.677,57.238
46.651,57.269
46.625,57.300
46.599,57.332
46.574,57.364
46.549,57.396
46.525,57.429
46.501,57.461
46.477,57.494
46.453,57.528
46.429,57.561
46.405,57.595
46.381,57.629
46.357,57.664
46.333,57.699
46.309,57.733
46.285,57.769
46.260,57.804
46.235,57.840
46.209,57.876
46.183,57.912
46.157,57.949
46.131,57.986
46.105,58.023
46.079,58.060
46.053,58.098
46.029,58.136
46.004,58.174
45.981,58.213
45.958,58.251
45.937,58.290
45.917,58.330
45.899,58.369
45.882,58.409
45.866,58.449
45.853,58.490
45.841,58.531
45.832,58.572
45.824,58.613
45.819,58.654
45.816,58.695
45.815,58.736
45.816,58.776
45.819,58.817
45.824,58.856
45.831,58.895
45.840,58.934
45.851,58.971
45.864,59.008
45.879,59.043
45.896,59.078
45.915,59.111
45.936,59.142
45.958,59.173
45.983,59.202
46.008,59.229
46.036,59.256
46.065,59.282
46.094,59.306
46.125,59.330
46.157,59.352
46.190,59.374
46.224,59.395
46.258,59.416
46.292,59.436
46.327,59.455
46.362,59.474
46.398,59.493
46.433,59.511
46.468,59.529
46.503,59.547
46.538,59.565
46.574,59.582
46.609,59.599
46.644,59.617
46.679,59.634
46.714,59.651
46.748,59.668
46.783,59.685
46.817,59.702
46.852,59.719
46.886,59.736
46.920,59.754
46.954,59.771
46.987,59.789
47.021,59.807
47.054,59.825
47.088,59.843
47.121,59.862
47.155,59.880
47.188,59.899
47.222,59.918
47.256,59.937
47.290,59.956
47.324,59.975
47.359,59.995
47.394,60.014
47.429,60.034
47.465,60.054
47.501,60.074
47.537,60.094
47.574,60.114
47.611,60.134
47.649,60.155
47.687,60.175
47.725,60.195
47.763,60.216
47.802,60.236
47.841,60.256
47.880,60.277
47.919,60.297
47.959,60.317
47.998,60.337
48.038,60.356
48.078,60.376
48.118,60.395
48.158,60.415
48.198,60.434
48.239,60.453
48.279,60.471
48.320,60.490
48.360,60.508
48.401,60.527
48.442,60.545
48.482,60.563
48.523,60.580
48.564,60.598
48.606,60.616
48.647,60.633
48.688,60.650
48.729,60.668
48.771,60.685
48.812,60.702
48.854,60.718
48.896,60.735
48.937,60.752
48.979,60.769
49.021,60.785
49.063,60.801
49.105,60.818
49.147,60.834
49.189,60.850
49.231,60.866
49.273,60.882
49.316,60.898
49.358,60.913
49.400,60.929
49.443,60.944
49.485,60.959
49.527,60.974
49.570,60.989
49.612,61.004
49.654,61.019
49.697,61.034
49.739,61.048
49.782,61.063
