 ,Label,Area,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Angle,Length
1,M14_00-gp_cr.jpg:M14_Scale,1.436,11.590,203.148,86.852,40.745,100.000,36.984,37.127,99.752,7.250,4.149,100
2,M14_00-gp_cr.jpg:M14_Iris_Pupil_Area_Left,97.833,1.000,255.000,54.341,59.441,35.657,48.397,54.671,11.959,9.677,0.000,0
3,M14_00-gp_cr.jpg:M14_Eye_Opening_Area_Left,179.312,1.000,255.000,54.246,59.648,58.137,41.793,54.585,26.259,9.763,0.000,0
4,M14_00-gp_cr.jpg:M14_Iris_Pupil_Area_Right,103.703,0.000,255.000,114.116,64.566,36.703,108.036,59.581,12.318,10.222,0.000,0
5,M14_00-gp_cr.jpg:M14_Eye_Opening_Area_Right,185.370,0.000,255.000,114.388,64.839,57.478,101.992,59.581,24.981,10.280,0.000,0
