X,Y
57.339,56.962
57.337,56.962
57.342,56.964
57.353,56.969
57.370,56.975
57.393,56.982
57.420,56.992
57.453,57.003
57.489,57.015
57.529,57.028
57.572,57.042
57.617,57.057
57.665,57.073
57.714,57.089
57.764,57.105
57.815,57.122
57.866,57.139
57.916,57.155
57.966,57.172
58.014,57.187
58.060,57.203
58.105,57.217
58.147,57.231
58.188,57.245
58.227,57.258
58.265,57.271
58.301,57.283
58.336,57.294
58.369,57.306
58.402,57.317
58.434,57.328
58.465,57.338
58.495,57.349
58.525,57.359
58.554,57.370
58.584,57.380
58.612,57.390
58.641,57.400
58.670,57.411
58.699,57.421
58.728,57.432
58.758,57.443
58.787,57.454
58.817,57.465
58.846,57.476
58.876,57.487
58.906,57.499
58.935,57.510
58.965,57.522
58.995,57.534
59.024,57.546
59.053,57.558
59.083,57.570
59.112,57.583
59.140,57.596
59.169,57.608
59.197,57.621
59.225,57.634
59.253,57.648
59.280,57.661
59.308,57.675
59.334,57.689
59.361,57.704
59.387,57.718
59.413,57.734
59.438,57.749
59.463,57.765
59.488,57.782
59.512,57.799
59.536,57.816
59.559,57.834
59.582,57.853
59.604,57.872
59.626,57.891
59.648,57.911
59.669,57.930
59.690,57.950
59.710,57.970
59.730,57.990
59.749,58.010
59.769,58.029
59.787,58.049
59.806,58.067
59.824,58.086
59.842,58.103
59.860,58.120
59.877,58.137
59.894,58.153
59.910,58.169
59.927,58.185
59.943,58.201
59.959,58.218
59.975,58.236
59.991,58.255
60.006,58.274
60.021,58.296
60.036,58.319
60.051,58.343
60.066,58.370
60.081,58.398
60.096,58.429
60.110,58.461
60.124,58.494
60.138,58.528
60.151,58.564
60.165,58.601
60.177,58.639
60.190,58.677
60.202,58.717
60.213,58.756
60.224,58.797
60.234,58.837
60.244,58.878
60.253,58.918
60.262,58.959
60.270,58.999
60.277,59.039
60.283,59.078
60.289,59.116
60.293,59.154
60.298,59.192
60.301,59.229
60.304,59.265
60.307,59.301
60.309,59.337
60.310,59.372
60.311,59.406
60.312,59.440
60.312,59.474
60.312,59.507
60.312,59.540
60.312,59.573
60.311,59.605
60.311,59.637
60.310,59.669
60.309,59.700
60.309,59.731
60.308,59.762
60.307,59.793
