 ,Label,Area,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Angle,Length
1,F22_00-gp_cr.jpg:F22_Scale,1.430,41.880,211.501,86.515,40.594,100.000,36.611,37.498,99.822,6.207,3.550,100
2,F22_00-gp_cr.jpg:F22_Iris_Pupil_Area_Left,104.199,3.000,129.000,54.165,59.348,36.260,48.295,53.887,11.713,11.098,0.000,0
3,F22_00-gp_cr.jpg:F22_Eye_Opening_Area_Left,202.495,0.000,193.000,54.745,59.753,58.112,42.803,53.758,25.127,11.498,0.000,0
4,F22_00-gp_cr.jpg:F22_Iris_Pupil_Area_Right,101.110,1.000,255.000,119.158,58.575,35.830,113.337,53.258,11.756,10.826,0.000,0
5,F22_00-gp_cr.jpg:F22_Eye_Opening_Area_Right,194.069,0.000,255.000,118.345,59.050,56.649,106.458,53.258,24.198,11.055,0.000,0
6,F22_00-gp_cr.jpg:F22_Complete_Area_Left,209.177,0.000,255.000,55.178,59.815,62.480,42.803,53.758,27.573,11.498,0.000,0
7,F22_00-gp_cr.jpg:F22_Complete_Area_Right,202.562,0.000,255.000,117.816,59.123,60.710,103.798,53.258,26.858,11.055,0.000,0
