X,Y
62.201,51.777
62.161,51.777
62.121,51.777
62.080,51.777
62.038,51.778
61.995,51.778
61.951,51.779
61.907,51.780
61.863,51.780
61.819,51.781
61.775,51.782
61.730,51.783
61.686,51.784
61.642,51.785
61.599,51.786
61.555,51.787
61.511,51.788
61.467,51.789
61.423,51.791
61.379,51.792
61.335,51.793
61.290,51.795
61.246,51.796
61.201,51.798
61.157,51.799
61.112,51.801
61.067,51.802
61.022,51.804
60.977,51.806
60.932,51.808
60.886,51.810
60.841,51.812
60.796,51.814
60.750,51.816
60.705,51.819
60.659,51.821
60.614,51.823
60.568,51.826
60.523,51.829
60.477,51.831
60.431,51.834
60.386,51.837
60.340,51.840
60.295,51.843
60.249,51.847
60.203,51.850
60.158,51.853
60.112,51.857
60.066,51.861
60.021,51.865
59.975,51.869
59.929,51.873
59.884,51.877
59.838,51.882
59.793,51.886
59.747,51.891
59.702,51.896
59.656,51.901
59.611,51.906
59.566,51.911
59.521,51.917
59.476,51.923
59.430,51.928
59.385,51.934
59.340,51.941
59.296,51.947
59.251,51.953
59.206,51.960
59.161,51.967
59.117,51.974
59.072,51.981
59.028,51.988
58.984,51.996
58.939,52.004
58.895,52.011
58.851,52.019
58.807,52.027
58.763,52.035
58.719,52.043
58.676,52.052
58.632,52.060
58.588,52.069
58.545,52.077
58.501,52.086
58.458,52.095
58.414,52.103
58.371,52.112
58.328,52.121
58.284,52.130
58.241,52.139
58.198,52.148
58.155,52.158
58.112,52.167
58.069,52.176
58.027,52.185
57.984,52.194
57.941,52.203
57.899,52.213
57.856,52.222
57.814,52.231
57.771,52.240
57.729,52.249
57.687,52.258
57.644,52.267
57.602,52.277
57.560,52.286
57.517,52.295
57.475,52.304
57.433,52.313
57.391,52.322
57.349,52.331
57.307,52.340
57.266,52.349
57.224,52.359
57.183,52.368
57.142,52.378
57.101,52.388
57.061,52.398
57.021,52.408
56.981,52.418
56.942,52.429
56.902,52.440
56.862,52.451
56.823,52.463
56.782,52.475
56.742,52.487
