X,Y
118.615,49.342
118.589,49.342
118.563,49.342
118.536,49.342
118.509,49.342
118.481,49.342
118.453,49.343
118.424,49.343
118.395,49.343
118.366,49.344
118.336,49.344
118.307,49.344
118.277,49.345
118.247,49.345
118.217,49.346
118.187,49.346
118.157,49.347
118.126,49.347
118.096,49.348
118.066,49.349
118.036,49.349
118.006,49.350
117.976,49.351
117.946,49.352
117.916,49.353
117.886,49.354
117.856,49.355
117.826,49.356
117.795,49.357
117.765,49.358
117.735,49.359
117.704,49.360
117.674,49.361
117.643,49.362
117.613,49.364
117.582,49.365
117.552,49.366
117.522,49.368
117.491,49.369
117.461,49.371
117.430,49.373
117.400,49.374
117.370,49.376
117.339,49.378
117.309,49.379
117.279,49.381
117.249,49.383
117.219,49.385
117.189,49.387
117.159,49.389
117.129,49.392
117.100,49.394
117.070,49.396
117.041,49.398
117.012,49.401
116.983,49.403
116.954,49.406
116.925,49.409
116.896,49.411
116.867,49.414
116.839,49.417
116.811,49.420
116.783,49.423
116.754,49.426
116.726,49.429
116.698,49.432
116.670,49.436
116.642,49.439
116.614,49.443
116.586,49.447
116.558,49.451
116.530,49.455
116.502,49.459
116.474,49.463
116.445,49.467
116.417,49.472
116.388,49.477
116.360,49.481
116.331,49.486
116.302,49.491
116.274,49.496
116.245,49.502
116.216,49.507
116.188,49.513
116.159,49.518
116.131,49.524
116.102,49.530
116.074,49.536
116.045,49.542
116.017,49.549
115.989,49.555
115.961,49.562
115.933,49.569
115.905,49.575
115.876,49.582
115.848,49.590
115.820,49.597
115.792,49.604
115.764,49.612
115.736,49.620
115.708,49.628
115.680,49.636
115.652,49.644
115.624,49.652
115.596,49.661
115.568,49.669
115.540,49.678
115.512,49.687
115.485,49.697
115.457,49.706
115.429,49.716
115.401,49.725
115.374,49.735
115.346,49.745
115.319,49.755
115.292,49.766
115.265,49.777
115.238,49.787
115.211,49.798
115.184,49.809
115.158,49.820
115.131,49.831
115.104,49.842
115.078,49.853
115.051,49.864
115.024,49.875
114.998,49.886
114.971,49.897
114.944,49.907
114.917,49.918
114.890,49.928
114.863,49.939
114.836,49.949
114.809,49.959
114.782,49.969
114.754,49.979
114.726,49.990
114.699,50.000
114.671,50.010
114.642,50.021
114.614,50.032
114.586,50.043
114.557,50.054
114.528,50.066
114.499,50.078
114.470,50.090
114.440,50.103
114.411,50.116
114.381,50.129
114.352,50.141
114.323,50.154
114.293,50.167
114.264,50.180
114.235,50.193
114.207,50.206
114.178,50.218
114.151,50.231
114.123,50.242
114.096,50.254
114.070,50.265
114.043,50.276
114.018,50.287
113.992,50.297
113.966,50.307
113.941,50.318
113.915,50.328
113.889,50.338
113.862,50.348
113.835,50.359
113.808,50.370
113.779,50.381
113.750,50.393
113.720,50.405
113.688,50.417
113.656,50.431
113.622,50.444
113.588,50.458
113.552,50.473
113.516,50.488
113.480,50.503
113.443,50.519
113.405,50.535
113.367,50.551
113.329,50.568
113.291,50.584
113.253,50.601
113.214,50.618
113.176,50.635
113.138,50.652
113.101,50.669
113.064,50.686
113.028,50.703
112.992,50.719
112.957,50.736
112.922,50.753
112.888,50.769
112.855,50.785
112.822,50.802
112.789,50.818
112.756,50.834
112.724,50.850
112.691,50.867
112.659,50.883
112.626,50.900
112.594,50.917
112.561,50.933
112.527,50.951
112.494,50.968
112.459,50.985
112.425,51.003
112.389,51.021
112.353,51.039
112.316,51.058
112.278,51.077
112.240,51.096
112.201,51.116
112.162,51.135
112.122,51.155
112.082,51.175
112.041,51.196
112.000,51.216
111.959,51.237
111.917,51.258
111.875,51.279
111.833,51.301
111.791,51.322
111.749,51.344
111.707,51.366
111.665,51.387
111.623,51.409
111.581,51.431
111.539,51.454
111.498,51.476
111.457,51.498
111.415,51.520
111.375,51.543
111.334,51.565
111.294,51.588
111.254,51.611
111.214,51.634
111.174,51.657
111.135,51.680
111.095,51.703
111.056,51.727
111.017,51.750
110.978,51.774
110.939,51.798
110.901,51.823
110.862,51.847
110.824,51.872
110.785,51.897
110.747,51.922
110.709,51.948
110.671,51.973
110.632,52.000
110.594,52.026
110.556,52.053
110.518,52.080
110.480,52.107
110.442,52.135
110.404,52.162
110.367,52.190
110.329,52.219
110.291,52.247
110.253,52.275
110.215,52.304
110.178,52.333
110.140,52.362
110.103,52.390
110.065,52.419
110.028,52.448
109.991,52.477
109.953,52.506
109.916,52.535
109.879,52.564
109.842,52.593
109.805,52.622
109.768,52.650
109.731,52.679
109.695,52.707
109.658,52.735
109.622,52.764
109.585,52.792
109.549,52.819
109.514,52.847
109.478,52.875
109.443,52.903
109.408,52.930
109.373,52.958
109.338,52.985
109.304,53.013
