id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
1m,1011,2,2.0530973451327400,31.420765027322400,2.455357142857140,F
2m,1011,3,2.0530973451327400,31.420765027322400,2.455357142857140,F
3m,1011,4,2.0530973451327400,31.420765027322400,2.455357142857140,F
4m,1011,2,2.0530973451327400,31.420765027322400,2.455357142857140,F
5m,1011,3,2.0530973451327400,31.420765027322400,2.455357142857140,F
6m,1011,6,2.0530973451327400,31.420765027322400,2.455357142857140,F
7m,1011,3,2.0530973451327400,31.420765027322400,2.455357142857140,F
8m,1011,4,2.0530973451327400,31.420765027322400,2.455357142857140,F
9m,1011,5,2.0530973451327400,31.420765027322400,2.455357142857140,F
10m,1011,1,2.0530973451327400,31.420765027322400,2.455357142857140,F
11m,1011,1,2.0530973451327400,31.420765027322400,2.455357142857140,F
12m,1011,2,2.0530973451327400,31.420765027322400,2.455357142857140,F
13m,1011,1,2.0530973451327400,31.420765027322400,2.455357142857140,F
14m,1011,3,2.0530973451327400,31.420765027322400,2.455357142857140,F
15m,1011,1,2.0530973451327400,31.420765027322400,2.455357142857140,F
16m,1011,2,2.0530973451327400,31.420765027322400,2.455357142857140,F
17m,1011,3,2.0530973451327400,31.420765027322400,2.455357142857140,F
18m,1011,3,2.0530973451327400,31.420765027322400,2.455357142857140,F
19m,1011,3,2.0530973451327400,31.420765027322400,2.455357142857140,F
20m,1011,2,2.0530973451327400,31.420765027322400,2.455357142857140,F
21m,1011,1,2.0530973451327400,31.420765027322400,2.455357142857140,F
22m,1011,1,2.0530973451327400,31.420765027322400,2.455357142857140,F
23m,1011,2,2.0530973451327400,31.420765027322400,2.455357142857140,F
24m,1011,1,2.0530973451327400,31.420765027322400,2.455357142857140,F
25m,1011,1,2.0530973451327400,31.420765027322400,2.455357142857140,F
26m,1011,3,2.0530973451327400,31.420765027322400,2.455357142857140,F
27m,1011,2,2.0530973451327400,31.420765027322400,2.455357142857140,F
28m,1011,2,2.0530973451327400,31.420765027322400,2.455357142857140,F
29m,1011,2,2.0530973451327400,31.420765027322400,2.455357142857140,F
30m,1011,1,2.0530973451327400,31.420765027322400,2.455357142857140,F
1m,1041,1,1.7758620689655200,41.73669467787120,3.180722891566270,F
2m,1041,1,1.7758620689655200,41.73669467787120,3.180722891566270,F
3m,1041,2,1.7758620689655200,41.73669467787120,3.180722891566270,F
4m,1041,1,1.7758620689655200,41.73669467787120,3.180722891566270,F
5m,1041,1,1.7758620689655200,41.73669467787120,3.180722891566270,F
6m,1041,3,1.7758620689655200,41.73669467787120,3.180722891566270,F
7m,1041,1,1.7758620689655200,41.73669467787120,3.180722891566270,F
8m,1041,3,1.7758620689655200,41.73669467787120,3.180722891566270,F
9m,1041,2,1.7758620689655200,41.73669467787120,3.180722891566270,F
10m,1041,1,1.7758620689655200,41.73669467787120,3.180722891566270,F
11m,1041,1,1.7758620689655200,41.73669467787120,3.180722891566270,F
