number,id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
93,3k,4120,2,1.852459016,51.2605042,3.310344828,M
94,4k,4120,2,1.852459016,51.2605042,3.310344828,M
95,5k,4120,2,1.852459016,51.2605042,3.310344828,M
96,6k,4120,1,1.852459016,51.2605042,3.310344828,M
97,7k,4120,1,1.852459016,51.2605042,3.310344828,M
98,8k,4120,1,1.852459016,51.2605042,3.310344828,M
99,9k,4120,1,1.852459016,51.2605042,3.310344828,M
100,10k,4120,1,1.852459016,51.2605042,3.310344828,M
101,11k,4120,1,1.852459016,51.2605042,3.310344828,M
102,12k,4120,1,1.852459016,51.2605042,3.310344828,M
103,13k,4120,1,1.852459016,51.2605042,3.310344828,M
104,14k,4120,3,1.852459016,51.2605042,3.310344828,M
105,15k,4120,1,1.852459016,51.2605042,3.310344828,M
106,16k,4120,1,1.852459016,51.2605042,3.310344828,M
107,17k,4120,1,1.852459016,51.2605042,3.310344828,M
108,18k,4120,2,1.852459016,51.2605042,3.310344828,M
109,19k,4120,1,1.852459016,51.2605042,3.310344828,M
110,20k,4120,1,1.852459016,51.2605042,3.310344828,M
111,21k,4120,2,1.852459016,51.2605042,3.310344828,M
112,22k,4120,3,1.852459016,51.2605042,3.310344828,M
113,23k,4120,1,1.852459016,51.2605042,3.310344828,M
114,24k,4120,1,1.852459016,51.2605042,3.310344828,M
115,25k,4120,3,1.852459016,51.2605042,3.310344828,M
116,26k,4120,1,1.852459016,51.2605042,3.310344828,M
117,27k,4120,1,1.852459016,51.2605042,3.310344828,M
118,28k,4120,1,1.852459016,51.2605042,3.310344828,M
119,29k,4120,1,1.852459016,51.2605042,3.310344828,M
120,30k,4120,1,1.852459016,51.2605042,3.310344828,M
121,1k,4130,3,1.9921875,40.84507042,2.80733945,M
122,2k,4130,1,1.9921875,40.84507042,2.80733945,M
123,3k,4130,2,1.9921875,40.84507042,2.80733945,M
124,4k,4130,1,1.9921875,40.84507042,2.80733945,M
125,5k,4130,1,1.9921875,40.84507042,2.80733945,M
126,6k,4130,1,1.9921875,40.84507042,2.80733945,M
127,7k,4130,1,1.9921875,40.84507042,2.80733945,M
128,8k,4130,1,1.9921875,40.84507042,2.80733945,M
129,9k,4130,1,1.9921875,40.84507042,2.80733945,M
130,10k,4130,1,1.9921875,40.84507042,2.80733945,M
131,11k,4130,1,1.9921875,40.84507042,2.80733945,M
132,12k,4130,2,1.9921875,40.84507042,2.80733945,M
133,13k,4130,1,1.9921875,40.84507042,2.80733945,M
134,14k,4130,2,1.9921875,40.84507042,2.80733945,M
135,15k,4130,2,1.9921875,40.84507042,2.80733945,M
136,16k,4130,1,1.9921875,40.84507042,2.80733945,M
137,17k,4130,2,1.9921875,40.84507042,2.80733945,M
138,18k,4130,1,1.9921875,40.84507042,2.80733945,M
